ID_Service,Servicio,Activar Servicio,Tipo de Servicio,ID_Tipo_Servicio,Costo Servicio,Tiempo de Ejecucion,Tiempo Biolimpieza,,,,,,,,,,
64ab9174923ff67b725791b7,Peluqueria,true,Corte,64ab92e0063c636a40004149,20000,28,2,,,,,,,,,,
64ab9174923ff67b725791b7,Peluqueria,true,Despuntado,64ab9383063c636a40004159,20000,28,2,,,,,,,,,,
64ab9174923ff67b725791b7,Peluqueria,true,Shampoo,64ab934c063c636a40004151,5000,5,2,,,,,,,,,,
64ab9174923ff67b725791b7,Peluqueria,true,Grafilado,64ab9370063c636a40004155,20000,28,2,,,,,,,,,,
64ab9174923ff67b725791b7,Peluqueria,true,Cepillado,665fee0091993d68814e8e24,25000,28,2,,,,,,,,,,
64ab9174923ff67b725791b7,Peluqueria,true,Corte especializado,665fde633a9d1e5376a0ee2b,30000,28,2,,,,,,,,,,
64ab9448063c636a40004160,Peinados,true,Blower,64ab948e063c636a40004168,25000,28,2,,,,,,,,,,
64ab9448063c636a40004160,Peinados,true,Blower + Shampo,665fee9291993d68814e8e28,30000,38,2,,,,,,,,,,
64ab9448063c636a40004160,Peinados,true,Peinado con Crespos,64ab949d063c636a4000416c,55000,58,2,,,,,,,,,,
64ab9448063c636a40004160,Peinados,true,Peinado Especial,64ab94a7063c636a40004170,60000,118,2,,,,,,,,,,
64ab9448063c636a40004160,Peinados,true,Peinado Novia,665feece91993d68814e8e2b,80000,118,2,,,,,,,,,,
64ab9448063c636a40004160,Peinados,true,Prueba Peinado + Maquillaje,665feee291993d68814e8e2d,120000,118,2,,,,,,,,,,
64ab9448063c636a40004160,Peinados,true,Combo Peinado + Maquillaje,665fef1691993d68814e8e30,150000,118,2,,,,,,,,,,
64ab9448063c636a40004160,Peinados,true,Combo 15 A�os,665fef3e91993d68814e8e33,150000,118,2,,,,,,,,,,
665fd12e3a9d1e5376a0ee20,Desestructuracion Quimica,true,Keratina,665fef8591993d68814e8e37,350000,58,2,,,,,,,,,,
665fd12e3a9d1e5376a0ee20,Desestructuracion Quimica,true,Ritual Botanico,6663d82ea925a38e7d22cf0e,300000,58,2,,,,,,,,,,
665fd12e3a9d1e5376a0ee20,Desestructuracion Quimica,true,Cirugia Capilar,665fef9c91993d68814e8e39,300000,58,2,,,,,,,,,,
665fd12e3a9d1e5376a0ee20,Desestructuracion Quimica,true,Aminoacidos,665fefa791993d68814e8e3b,300000,58,2,,,,,,,,,,
665fd15d3a9d1e5376a0ee22,Procesos Quimicos Color,true,Color,665ff01591993d68814e8e3f,200000,58,2,,,,,,,,,,
665fd15d3a9d1e5376a0ee22,Procesos Quimicos Color,true,Mechas,665ff01d91993d68814e8e41,450000,118,2,,,,,,,,,,
665fd15d3a9d1e5376a0ee22,Procesos Quimicos Color,true,Balayaje,665ff02691993d68814e8e43,600000,118,2,,,,,,,,,,
665fd15d3a9d1e5376a0ee22,Procesos Quimicos Color,true,Baby Light,665ff09a91993d68814e8e4c,350000,118,2,,,,,,,,,,
665fd15d3a9d1e5376a0ee22,Procesos Quimicos Color,true,Color sin Amoniaco,665ff03d91993d68814e8e45,200000,58,2,,,,,,,,,,
665fd15d3a9d1e5376a0ee22,Procesos Quimicos Color,true,Hidratacion Capilar,665ff04b91993d68814e8e47,140000,88,2,,,,,,,,,,
665fd15d3a9d1e5376a0ee22,Procesos Quimicos Color,true,Enjuague para Matizar,665ff06291993d68814e8e49,150000,58,2,,,,,,,,,,
64ab95f1063c636a40004196,Cuidado Capilar,true,Ampolletas,64ab9635063c636a4000419a,45000,58,2,,,,,,,,,,
64ab95f1063c636a40004196,Cuidado Capilar,true,Shor Capilar,64ab9a39d82418177a7237cb,55000,28,2,,,,,,,,,,
64ab95f1063c636a40004196,Cuidado Capilar,true,Mascarilla Especializada,665ff11591993d68814e8e50,150000,58,2,,,,,,,,,,
64ab95f1063c636a40004196,Cuidado Capilar,true,Shampo Especializado,665ff14591993d68814e8e53,150000,58,2,,,,,,,,,,
64ab95f1063c636a40004196,Cuidado Capilar,true,Masaje Capilar,64ab9a56d82418177a7237d3,55000,28,2,,,,,,,,,,
64ab95f1063c636a40004196,Cuidado Capilar,true,Reporalizacion Capilar,64ab9ab9d82418177a7237df,55000,58,2,,,,,,,,,,
64ab9aced82418177a7237e2,Barberia,true,Afeitada,64ab9af1d82418177a7237e6,10000,10,2,,,,,,,,,,
64ab9aced82418177a7237e2,Barberia,true,Barba de Lujo,64ab9b00d82418177a7237ea,15000,28,2,,,,,,,,,,
64ab9aced82418177a7237e2,Barberia,true,free Style,660a073f1a72c4a6093c4cb0,30000,38,2,,,,,,,,,,
64ab9aced82418177a7237e2,Barberia,true,Barba con Vapor y Cuchilla,64ab9b17d82418177a7237ee,15000,28,2,,,,,,,,,,
64ab9aced82418177a7237e2,Barberia,true,Color Barba,64ab9b23d82418177a7237f2,80000,28,2,,,,,,,,,,
64ab9aced82418177a7237e2,Barberia,true,Retoque Barba,64ab9b2dd82418177a7237f6,10000,10,2,,,,,,,,,,
64ab9aced82418177a7237e2,Barberia,true,Delipacion Cejas con Cera,665ff1d591993d68814e8e59,10000,15,,,,,,,,,,,
64ab9aced82418177a7237e2,Barberia,true,Delipacion Nariz Con Cera,665ff1e291993d68814e8e5b,10000,15,,,,,,,,,,,
64ab9aced82418177a7237e2,Barberia,true,Delipacion Oido,665ff1ef91993d68814e8e5d,5000,5,,,,,,,,,,,
64ab9aced82418177a7237e2,Barberia,true,Corte + Barba,665ff1ff91993d68814e8e5f,25000,28,2,,,,,,,,,,
64ab9aced82418177a7237e2,Barberia,true,Premium,665ff20b91993d68814e8e61,85000,110,10,,,,,,,,,,
64ab9aced82418177a7237e2,Barberia,true,Premium Clasico,665ff21991993d68814e8e63,52000,110,10,,,,,,,,,,
64ab9aced82418177a7237e2,Barberia,true,Premium Basico,665ff22691993d68814e8e65,40000,38,2,,,,,,,,,,
64ab9aced82418177a7237e2,Barberia,true,Combo Basico Plus,665ff23491993d68814e8e67,42000,38,2,,,,,,,,,,
64ab9aced82418177a7237e2,Barberia,true,Combo Basico,665ff23d91993d68814e8e69,30000,38,2,,,,,,,,,,
665fd1a33a9d1e5376a0ee24,Cuidado Corporal,true,Reduccion de medidas (Lipoclasia),665ff2ae91993d68814e8e6d,280000,55,5,,,,,,,,,,
665fd1a33a9d1e5376a0ee24,Cuidado Corporal,true,Eliminacion de Verrugas,665ff2b991993d68814e8e6f,200000,55,5,,,,,,,,,,
665fd1a33a9d1e5376a0ee24,Cuidado Corporal,true,Eliminacion de Lunares,665ff2c691993d68814e8e71,200000,55,5,,,,,,,,,,
665fd1a33a9d1e5376a0ee24,Cuidado Corporal,true,Eliminacion de Minium,665ff2d191993d68814e8e73,200000,55,5,,,,,,,,,,
665fd1a33a9d1e5376a0ee24,Cuidado Corporal,true,Eliminacion de Queloide,665ff2e291993d68814e8e75,200000,55,5,,,,,,,,,,
665fd1a33a9d1e5376a0ee24,Cuidado Corporal,true,Masajes Reductivos,665ff2f191993d68814e8e77,200000,40,5,,,,,,,,,,
665fd1a33a9d1e5376a0ee24,Cuidado Corporal,true,Lipopapada,665ff2fb91993d68814e8e79,250000,40,5,,,,,,,,,,
665fd1a33a9d1e5376a0ee24,Cuidado Corporal,true,Drenaje Linfatico,665ff30891993d68814e8e7b,150000,40,5,,,,,,,,,,
